Course Title,Section ID,TermCode,Period,Teacher,Abs1,SISNumber,Grade
Advisory,0813Q-1A-NEL,Q1,1,"Nelson, Matthew",8,717118,P
Advisory,0813Q-1A-NEL,Q1,1,"Nelson, Matthew",17,677110,P
Advisory,0813Q-1A-NEL,Q1,1,"Nelson, Matthew",17,622102,P
Advisory,0813Q-1A-NEL,Q1,1,"Nelson, Matthew",27,529105,P
Advisory,0813Q-1A-NEL,Q1,1,"Nelson, Matthew",19,622562,P
Advisory,0813Q-1A-NEL,Q1,1,"Nelson, Matthew",3,778650,P
Advisory,0813Q-1A-NEL,Q1,1,"Nelson, Matthew",24,751480,P
Advisory,0813Q-1A-NEL,Q1,1,"Nelson, Matthew",20,450746,P
Advisory,0813Q-1A-NEL,Q1,1,"Nelson, Matthew",1,647770,P
Advisory,0813Q-1A-NEL,Q1,1,"Nelson, Matthew",3,652193,P
Advisory,0813Q-1A-NEL,Q1,1,"Nelson, Matthew",6,626678,P
Advisory,0813Q-1A-NEL,Q1,1,"Nelson, Matthew",21,586526,P
Advisory,0813Q-1A-NEL,Q1,1,"Nelson, Matthew",9,692407,P
Advisory,0813Q-1A-NEL,Q1,1,"Nelson, Matthew",7,660613,P
Advisory,0813Q-1A-NEL,Q1,1,"Nelson, Matthew",9,660430,P
Advisory,0813Q-1A-NEL,Q1,1,"Nelson, Matthew",15,656307,P
Advisory,0813Q-1A-NEL,Q1,1,"Nelson, Matthew",32,622623,P
Advisory,0813Q-1A-NEL,Q1,1,"Nelson, Matthew",15,599784,P
Advisory,0813Q-1A-NEL,Q1,1,"Nelson, Matthew",1,721061,P
Advisory,0813Q-1A-NEL,Q1,1,"Nelson, Matthew",12,657629,P
Advisory,0813Q-1A-NEL,Q1,1,"Nelson, Matthew",26,698398,P
Zines A,1176ZA-Q1A-P2,Q1,2,"Nelson, Matthew",0,605118,A
Zines A,1176ZA-Q1A-P2,Q1,2,"Nelson, Matthew",25,660139,D
Zines A,1176ZA-Q1A-P2,Q1,2,"Nelson, Matthew",6,815719,A
Zines A,1176ZA-Q1A-P2,Q1,2,"Nelson, Matthew",41,554794,NG
Zines A,1176ZA-Q1A-P2,Q1,2,"Nelson, Matthew",20,285066,C
Zines A,1176ZA-Q1A-P2,Q1,2,"Nelson, Matthew",24,652248,D
Zines A,1176ZA-Q1A-P2,Q1,2,"Nelson, Matthew",28,768097,B
Zines A,1176ZA-Q1A-P2,Q1,2,"Nelson, Matthew",11,517041,B
Zines A,1176ZA-Q1A-P2,Q1,2,"Nelson, Matthew",17,784986,B
Zines A,1176ZA-Q1A-P2,Q1,2,"Nelson, Matthew",23,796547,B
Zines A,1176ZA-Q1A-P2,Q1,2,"Nelson, Matthew",6,532568,B
Zines A,1176ZA-Q1A-P2,Q1,2,"Nelson, Matthew",22,570176,A
Zines A,1176ZA-Q1A-P2,Q1,2,"Nelson, Matthew",2,618716,D
Zines B,1176ZB-Q2A-P2,Q1,2,"Nelson, Matthew",0,605118,A
