Course Title,TermCode,Period,Teacher,Abs1,SISNumber,Grade,Comment1
Advisory,Q1,1,"Nelson, Matthew",18,717118,P,
Advisory,Q1,1,"Nelson, Matthew",26,677110,P,
Advisory,Q1,1,"Nelson, Matthew",31,529105,NP,
Advisory,Q1,1,"Nelson, Matthew",33,622562,P,
Advisory,Q1,1,"Nelson, Matthew",19,617201,P,
Advisory,Q1,1,"Nelson, Matthew",10,751480,P,
Advisory,Q1,1,"Nelson, Matthew",25,816925,P,
Advisory,Q1,1,"Nelson, Matthew",8,781178,P,
Advisory,Q1,1,"Nelson, Matthew",12,626678,P,
Advisory,Q1,1,"Nelson, Matthew",25,586526,P,
Advisory,Q1,1,"Nelson, Matthew",32,692407,P,
Advisory,Q1,1,"Nelson, Matthew",15,660613,P,
Advisory,Q1,1,"Nelson, Matthew",9,660430,P,
Advisory,Q1,1,"Nelson, Matthew",1,721061,P,
G: Analytical Geometry Q1,Q1,2,"Nelson, Matthew",4,655849,A,
G: Analytical Geometry Q1,Q1,2,"Nelson, Matthew",1,762179,A,
G: Analytical Geometry Q1,Q1,2,"Nelson, Matthew",17,773644,A,
G: Analytical Geometry Q1,Q1,2,"Nelson, Matthew",8,647008,C,
G: Analytical Geometry Q1,Q1,2,"Nelson, Matthew",35,656640,C,
G: Analytical Geometry Q1,Q1,2,"Nelson, Matthew",10,647010,B,
G: Analytical Geometry Q1,Q1,2,"Nelson, Matthew",16,774146,B,
G: Analytical Geometry Q1,Q1,2,"Nelson, Matthew",3,655529,D,
G: Analytical Geometry Q1,Q1,2,"Nelson, Matthew",17,768097,B,
G: Analytical Geometry Q1,Q1,2,"Nelson, Matthew",31,396865,NG,
G: Analytical Geometry Q1,Q1,2,"Nelson, Matthew",11,751284,C,
G: Analytical Geometry Q1,Q1,2,"Nelson, Matthew",28,570176,C,
G: Analytical Geometry Q1,Q1,2,"Nelson, Matthew",6,716407,C,
G: Analytical Geometry Q1,Q1,2,"Nelson, Matthew",11,618716,C,
G: Analytical Geometry Q1,Q1,3,"Nelson, Matthew",31,317752,C,
G: Analytical Geometry Q1,Q1,3,"Nelson, Matthew",23,658563,B,
G: Analytical Geometry Q1,Q1,3,"Nelson, Matthew",5,612191,B,
G: Analytical Geometry Q1,Q1,3,"Nelson, Matthew",3,515638,B,
G: Analytical Geometry Q1,Q1,3,"Nelson, Matthew",24,811707,C,
G: Analytical Geometry Q1,Q1,3,"Nelson, Matthew",18,604338,D,
G: Analytical Geometry Q1,Q1,3,"Nelson, Matthew",25,604839,D,
G: Analytical Geometry Q1,Q1,3,"Nelson, Matthew",0,823318,C,
G: Analytical Geometry Q1,Q1,3,"Nelson, Matthew",7,626678,C,
G: Analytical Geometry Q1,Q1,3,"Nelson, Matthew",16,649817,A,
G: Analytical Geometry Q1,Q1,4,"Nelson, Matthew",3,776797,A,
G: Analytical Geometry Q1,Q1,4,"Nelson, Matthew",0,714596,A,
G: Analytical Geometry Q1,Q1,4,"Nelson, Matthew",35,529105,D,
G: Analytical Geometry Q1,Q1,4,"Nelson, Matthew",11,617201,B,
G: Analytical Geometry Q1,Q1,4,"Nelson, Matthew",4,655970,A,
G: Analytical Geometry Q1,Q1,4,"Nelson, Matthew",19,597848,C,
G: Analytical Geometry Q1,Q1,4,"Nelson, Matthew",22,682425,C,
G: Analytical Geometry Q1,Q1,4,"Nelson, Matthew",5,649581,B,
G: Analytical Geometry Q1,Q1,4,"Nelson, Matthew",7,658084,C,
G: Analytical Geometry Q1,Q1,4,"Nelson, Matthew",9,600391,B,
G: Analytical Geometry Q1,Q1,4,"Nelson, Matthew",10,749965,B,
G: Analytical Geometry Q1,Q1,4,"Nelson, Matthew",1,669379,B,
G: Analytical Geometry Q1,Q1,4,"Nelson, Matthew",11,538524,B,
G: Analytical Geometry Q1,Q1,4,"Nelson, Matthew",1,691442,A,
Zines A,Q1,5,"Nelson, Matthew",21,717118,B,
Zines A,Q1,5,"Nelson, Matthew",22,317752,C,
Zines A,Q1,5,"Nelson, Matthew",1,714596,B,
Zines A,Q1,5,"Nelson, Matthew",36,529105,D,
Zines A,Q1,5,"Nelson, Matthew",17,655807,C,
Zines A,Q1,5,"Nelson, Matthew",24,714368,D,
Zines A,Q1,5,"Nelson, Matthew",26,656640,C,
Zines A,Q1,5,"Nelson, Matthew",24,674111,C,
Zines A,Q1,5,"Nelson, Matthew",18,601703,C,
Zines A,Q1,5,"Nelson, Matthew",1,655529,D,
Zines A,Q1,5,"Nelson, Matthew",22,626562,C,
Zines A,Q1,5,"Nelson, Matthew",37,778213,D,
Zines A,Q1,5,"Nelson, Matthew",9,626678,C,
Zines A,Q1,5,"Nelson, Matthew",23,788157,A,
Zines A,Q1,5,"Nelson, Matthew",7,673215,A,
Zines A,Q1,5,"Nelson, Matthew",36,627012,C,
Zines A,Q1,5,"Nelson, Matthew",8,716407,B,
A: Functions/Linear Equations Q1,Q1,6,"Nelson, Matthew",27,723625,D,
A: Functions/Linear Equations Q1,Q1,6,"Nelson, Matthew",1,803388,NG,S106 - New student: no grade
A: Functions/Linear Equations Q1,Q1,6,"Nelson, Matthew",9,720886,B,
A: Functions/Linear Equations Q1,Q1,6,"Nelson, Matthew",6,678465,B,
A: Functions/Linear Equations Q1,Q1,6,"Nelson, Matthew",3,737937,A,
A: Functions/Linear Equations Q1,Q1,6,"Nelson, Matthew",25,729008,C,
A: Functions/Linear Equations Q1,Q1,6,"Nelson, Matthew",3,726325,C,
A: Functions/Linear Equations Q1,Q1,6,"Nelson, Matthew",21,626562,A,
A: Functions/Linear Equations Q1,Q1,6,"Nelson, Matthew",9,781178,A,
A: Functions/Linear Equations Q1,Q1,6,"Nelson, Matthew",6,770552,B,
A: Functions/Linear Equations Q1,Q1,6,"Nelson, Matthew",10,764960,D,
A: Functions/Linear Equations Q1,Q1,6,"Nelson, Matthew",25,702365,NG,
A: Functions/Linear Equations Q1,Q1,6,"Nelson, Matthew",0,816956,B,
A: Functions/Linear Equations Q1,Q1,6,"Nelson, Matthew",34,737934,NG,
A: Functions/Linear Equations Q1,Q1,6,"Nelson, Matthew",14,732392,C,
A: Functions/Linear Equations Q1,Q1,6,"Nelson, Matthew",0,751291,A,
HE: Urban Hiking,Q1,7,"Nelson, Matthew",29,714368,C,
HE: Urban Hiking,Q1,7,"Nelson, Matthew",35,811707,NG,
HE: Urban Hiking,Q1,7,"Nelson, Matthew",6,662967,C,
HE: Urban Hiking,Q1,7,"Nelson, Matthew",22,572000,NG,
PE: Urban Hiking,Q1,7,"Nelson, Matthew",1,762179,A,
PE: Urban Hiking,Q1,7,"Nelson, Matthew",3,768014,A,
PE: Urban Hiking,Q1,7,"Nelson, Matthew",19,751481,B,
PE: Urban Hiking,Q1,7,"Nelson, Matthew",5,655970,A,
PE: Urban Hiking,Q1,7,"Nelson, Matthew",14,626562,D,
PE: Urban Hiking,Q1,7,"Nelson, Matthew",12,655624,C,
PE: Urban Hiking,Q1,7,"Nelson, Matthew",1,721571,A,
PE: Urban Hiking,Q1,7,"Nelson, Matthew",7,570178,B,
PE: Urban Hiking,Q1,7,"Nelson, Matthew",11,538524,A,
PE: Urban Hiking,Q1,7,"Nelson, Matthew",8,649817,B,
PE: Urban Hiking,Q1,7,"Nelson, Matthew",13,732392,B,
PE: Urban Hiking,Q1,7,"Nelson, Matthew",29,570176,C,
PE: Urban Hiking,Q1,7,"Nelson, Matthew",15,618716,C,
